dominant_biome,air,dirt,water,short_grass,grass_block,sand,tall_seagrass,oak_leaves,birch_leaves,oak_log,tall_grass,birch_log,kelp,kelp_plant,dark_oak_log,dark_oak_leaves,spruce_leaves,spruce_log,bush,sandstone,brown_mushroom,dandelion,podzol,red_mushroom_block,mushroom_stem,poppy,coarse_dirt,oxeye_daisy,emerald_ore,lily_pad,snow,acacia_leaves
5,0.4949632806914928,0.2076142131979695,0.4603370324702014,0.0,0.0,0.0,0.4210526315789473,0.0,0.0,0.0,0.0,0.0,0.5473684210526316,0.5438282647584973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4357249626307922,0.3969543147208121,0.0760378133990957,0.0458015267175572,0.5665961945031712,0.0,0.0,0.3275401069518716,0.0861344537815126,0.2898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8287190485474751,0.0045685279187817,0.7529798602548294,0.0,0.0,0.0,0.8771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4436862286345616,0.4776649746192893,0.0,0.0305343511450381,0.5137420718816068,0.0,0.0,0.0842245989304812,0.0,0.0579710144927536,0.0,0.0,0.0,0.0,0.4782608695652174,0.5098634294385432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4475531292649639,0.6192893401015228,8.220304151253596e-05,0.0305343511450381,0.5496828752642706,0.0,0.0,0.3756684491978609,0.2142857142857142,0.3623188405797101,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.615227139793332,0.1710659898477157,0.1907932593505959,0.0,0.0021141649048625,0.0107913669064748,0.087719298245614,0.0,0.0,0.0,0.0,0.0,0.6421052631578947,0.5670840787119857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5024046272827711,0.0756345177664974,0.2170982326346074,0.0,0.0,0.0043165467625899,0.4035087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7269448235523494,0.0730964467005076,0.4987258528565557,0.0,0.0,0.0115107913669064,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.4421052631578947,0.4722719141323792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4928836030415285,0.1588832487309644,0.3698314837648993,0.0,0.0,0.0,0.4912280701754385,0.0,0.0,0.0,0.0,0.0,0.0947368421052631,0.0876565295169946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4588938714499253,0.5451776649746193,0.0640361693382655,0.0534351145038167,0.5243128964059197,0.0,0.0,0.3676470588235294,0.1743697478991596,0.4202898550724637,0.0,0.1714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
